title,link,language,copyright,pubDate,item_title,item_link,item_description,item_source,item_category,item_pubDate,item_guid
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - State of the European Union Debate 2021 - Addressing Europeans' concerns,https://www.europarl.europa.eu/news/en/headlines/priorities/soteu2021,"<img src=""https://www.europarl.europa.eu/resources/library/images/20210913PHT12318/20210913PHT12318-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />The most important EU debate of the year, looking at last year’s achievements as well as plans and vision for the future, took place on 15 September.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Mon, 13 Sep 2021 13:03:26 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2021-09-09-11812_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT","Top story - Digital transformation in the EU - Benefitting people, the economy and the environment",https://www.europarl.europa.eu/news/en/headlines/priorities/digital-transformation,"<img src=""https://www.europarl.europa.eu/resources/library/images/20210505PHT03511/20210505PHT03511-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />The EU is helping to boost Europe's digital capacities and create new opportunities for businesses and consumers while safeguarding basic rights.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Wed, 05 May 2021 16:59:54 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2021-05-05-03520_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - LUX Audience Award 2021 - The best of European cinema,https://www.europarl.europa.eu/news/en/headlines/priorities/lux-award-2021,"<img src=""https://www.europarl.europa.eu/resources/library/images/20210324PHT00750/20210324PHT00750-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />Romanian documentary Collective is the winner of the 2021 LUX Audience Award.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Wed, 05 May 2021 09:43:17 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2021-04-29-03108_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - The future is in your hands - Conference on the Future of Europe,https://www.europarl.europa.eu/news/en/headlines/priorities/conference-on-the-future-of-europe,"<img src=""https://www.europarl.europa.eu/resources/library/images/20210416PHT02238/20210416PHT02238-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />Make your voice heard: the EU is looking for your ideas on how it should change and what Europe's future should look like.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Tue, 20 Apr 2021 09:53:02 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2021-04-14-02005_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - International Women’s Day 2021 - Women leading the fight against Covid-19,https://www.europarl.europa.eu/news/en/headlines/priorities/international-women-s-day-2021,"<img src=""https://www.europarl.europa.eu/resources/library/images/20210225PHT98718/20210225PHT98718-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />Marking International Women’s Day 2021 on 8 March, the European Parliament is paying tribute to women working on the frontline and all those affected by the Covid-19 pandemic.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Mon, 01 Mar 2021 16:42:04 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2021-02-25-98703_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - Vaccines against Covid-19 - Ensuring safe vaccines for EU citizens,https://www.europarl.europa.eu/news/en/headlines/priorities/vaccines-against-covid-19,"<img src=""https://www.europarl.europa.eu/resources/library/images/20210125PHT96307/20210125PHT96307-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />Find out about the Covid-19 vaccines, vaccination campaigns across the EU and how the European Parliament is supporting and scrutinising the roll-out process.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Tue, 26 Jan 2021 11:33:03 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2021-01-25-96302_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - Artificial intelligence and big data - Building trust and boosting innovation,https://www.europarl.europa.eu/news/en/headlines/priorities/artificial-intelligence-in-the-eu,"<img src=""https://www.europarl.europa.eu/resources/library/images/20201021PHT89803/20201021PHT89803-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />AI and big data are vital to the EU's digital future. Find out how MEPs want to foster growth while ensuring safety and respect for human rights.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Thu, 22 Oct 2020 13:26:38 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2020-10-22-89904_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - Sakharov Prize 2020 - The democratic opposition in Belarus,https://www.europarl.europa.eu/news/en/headlines/priorities/sakharov-prize-2020,"<img src=""https://www.europarl.europa.eu/resources/library/images/20201022PHT89911/20201022PHT89911-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />The Parliament's 2020 Sakharov Prize for Freedom of Thought will be awarded to the democratic opposition in Belarus.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2020 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Thu, 22 Oct 2020 13:21:30 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2020-10-15-89420_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - Changes in the European Commission 2020 - MEPs assess Mairead McGuinness and Valdis Dombrovskis,https://www.europarl.europa.eu/news/en/headlines/priorities/commission-changes-2020,"<img src=""https://www.europarl.europa.eu/resources/library/images/20200925PHT87943/20200925PHT87943-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />Parliament held hearings to evaluate Mairead McGuinness, the new financial services commissioner, and Valdis Dombrovskis, set to take over the trade portfolio.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2020 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Fri, 25 Sep 2020 15:11:45 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2020-09-24-87813_EN')])"
Top stories - European Parliament,https://www.europarl.europa.eu/news/en,EN,"© European Union, 2021 - EP","Sun, 26 Sep 2021 10:13:50 GMT",Top story - The EU's response to the coronavirus - Addressing the Covid-19 outbreak,https://www.europarl.europa.eu/news/en/headlines/priorities/eu-response-to-coronavirus,"<img src=""https://www.europarl.europa.eu/resources/library/images/20200420PHT77425/20200420PHT77425-ms.jpg"" align=""left"" width=""125"" hspace=""5"" vspace=""0"" />Find out the latest news on the EU-coordinated response to the coronavirus outbreak and the European Parliament's actions.<br /> <br />Source : <a href=""https://www.europarl.europa.eu/privacy-policy/en"">© European Union, 2021 - EP</a>","OrderedDict([('@url', 'https://www.europarl.europa.eu/rss/doc/top-stories/en.xml'), ('#text', 'Top stories - European Parliament')])","OrderedDict([('@domain', 'type'), ('#text', 'Top story')])","Mon, 21 Sep 2020 09:55:44 GMT","OrderedDict([('@isPermaLink', 'false'), ('#text', 'TST_TST-2020-03-17-75102_EN')])"
